za_nr;version;doi;lfd;gewicht;datum;bik;bl;wo;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;V1;V2;V3;V4;V5;V6;V7_1;V7_2;V7_3;V7_4;V7_5;V7_6;V7_7;V7_8;V10_1;V10_2;V10_3;V10_4;V10_5;V12_1;V12_2;V12_3;V12_4;V12_5;V12_6
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;9837525;,566583;2015/05/12;100000 bis 500000;Nordrhein-Westfalen;West;w;75;Mittlerer Bildungsabschl;nein;zwei;zwei;SPD;ja;keine Angabe;Festnetz;mehr;so viel tun, wie bisher;weiß nicht, keine Angabe;ihre gemeinsame Asylpolitik überarbeiten;eher schlecht;nein;stimme eher nicht zu;stimme eher zu;weiß nicht, keine Angabe;stimme eher nicht zu;stimme eher zu;stimme eher nicht zu;weiß nicht, keine Angabe;weiß nicht, keine Angabe;habe gemacht;habe gemacht;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;weiß nicht, keine Angabe
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;10080164;,456493;2015/05/12;500000 und mehr;Nordrhein-Westfalen;West;m;77;Studium;nein;zwei;zwei;CDU/CSU;ja;2500 bis unter 3000;Festnetz;mehr;mehr tun;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;eher schlecht;nein;stimme eher nicht zu;stimme eher zu;stimme eher zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher zu;stimme eher zu;habe gemacht;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;berechtigter Grund;kein berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;10284305;,669489;2015/05/12;100000 bis 500000;Nordrhein-Westfalen;West;m;66;Mittlerer Bildungsabschl;nein;zwei;zwei;würde nicht wählen;ja;2500 bis unter 3000;Festnetz;mehr;mehr tun;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;sehr gut;nein;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher zu;stimme gar nicht zu;stimme eher nicht zu;stimme eher zu;stimme eher zu;stimme voll und ganz zu;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;10312772;1,39029;2015/05/12;100000 bis 500000;Nordrhein-Westfalen;West;w;56;Volks-, Hauptschule;nein;zwei;eine Person;CDU/CSU;ja;2000 bis unter 2500;Festnetz;mehr;so viel tun, wie bisher;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;sehr gut;ja;stimme eher nicht zu;stimme eher zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher nicht zu;stimme voll und ganz zu;stimme gar nicht zu;stimme eher nicht zu;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;10322950;1,962744;2015/05/12;100000 bis 500000;Nordrhein-Westfalen;West;m;62;Volks-, Hauptschule;nein;zwei;zwei;SPD;ja;2000 bis unter 2500;Festnetz;mehr;so viel tun, wie bisher;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;sehr gut;nein;stimme eher nicht zu;stimme eher zu;stimme eher zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher zu;stimme eher nicht zu;stimme eher zu;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;10456437;,718843;2015/05/12;500000 und mehr;Nordrhein-Westfalen;West;m;64;Mittlerer Bildungsabschl;nein;zwei;zwei;SPD;ja;3000 bis unter 3500;Festnetz;etwa so viel wie die anderen europäischen Staaten auch;so viel tun, wie bisher;stärker als bisher unterstützen sollte,;oder sollte die EU an ihrer bisherigen Asylpolitik festhalten?;sehr gut;ja;stimme eher nicht zu;stimme eher nicht zu;stimme voll und ganz zu;stimme eher zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher zu;stimme eher nicht zu;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;10494052;,442824;2015/05/12;5000 bis 20000;Nordrhein-Westfalen;West;m;53;Mittlerer Bildungsabschl;ja;vier;vier;CDU/CSU;ja;3000 bis unter 3500;Festnetz;mehr;so viel tun, wie bisher;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;sehr gut;ja;stimme gar nicht zu;stimme eher nicht zu;stimme eher nicht zu;stimme voll und ganz zu;stimme gar nicht zu;stimme gar nicht zu;stimme voll und ganz zu;stimme gar nicht zu;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;berechtigter Grund;kein berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;10503493;,374277;2015/05/12;20000 bis 50000;Nordrhein-Westfalen;West;w;44;Studium;ja;vier;vier;weiß nicht, keine Angabe;ja;3500 bis unter 4000;Festnetz;etwa so viel wie die anderen europäischen Staaten auch;mehr tun;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;eher gut;nein;stimme voll und ganz zu;stimme eher nicht zu;stimme eher zu;stimme eher zu;stimme voll und ganz zu;stimme eher zu;stimme eher zu;stimme eher zu;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kein berechtigter Grund;kein berechtigter Grund;kein berechtigter Grund;kein berechtigter Grund;kein berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;10539188;,443123;2015/05/12;50000 bis 100000;Nordrhein-Westfalen;West;m;63;Mittlerer Bildungsabschl;ja;zwei;zwei;Bündnis `90, Die Grünen;ja;2500 bis unter 3000;Festnetz;mehr;mehr tun;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;eher gut;ja;stimme eher nicht zu;stimme eher zu;stimme eher zu;stimme eher nicht zu;stimme gar nicht zu;stimme eher zu;stimme eher nicht zu;stimme eher nicht zu;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;10588599;,120815;2015/05/12;100000 bis 500000;Nordrhein-Westfalen;West;m;60;Studium;ja;zwei;zwei;CDU/CSU;ja;4000 bis unter 5000;Festnetz;mehr;weniger tun;oder sollte Deutschland diese Länder nicht stärker unterstützen?;ihre gemeinsame Asylpolitik überarbeiten;eher schlecht;nein;stimme voll und ganz zu;stimme eher nicht zu;stimme eher zu;stimme eher nicht zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher nicht zu;stimme eher zu;kann ich mir vorstellen zu tun;habe gemacht;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;habe gemacht;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;10664858;1,588073;2015/05/12;20000 bis 50000;Nordrhein-Westfalen;West;w;15;Schüler;nein;fuenf und mehr;vier; ; ;keine Angabe;Festnetz;weiß nicht, keine Angabe;mehr tun;stärker als bisher unterstützen sollte,;weiß nicht, keine Angabe;eher gut;nein;stimme gar nicht zu;weiß nicht, keine Angabe;stimme eher zu;weiß nicht, keine Angabe;weiß nicht, keine Angabe;stimme eher nicht zu;stimme eher nicht zu;weiß nicht, keine Angabe;kann ich mir vorstellen zu tun;weiß nicht, keine Angabe;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;10736980;,190156;2015/05/12;20000 bis 50000;Nordrhein-Westfalen;West;m;56;Abitur;ja;zwei;zwei;weiß nicht, keine Angabe;ja;3000 bis unter 3500;Festnetz;etwa so viel wie die anderen europäischen Staaten auch;mehr tun;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;eher schlecht;nein;stimme eher zu;stimme eher zu;stimme gar nicht zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher zu;stimme eher zu;stimme eher nicht zu;kann ich mir vorstellen zu tun;habe gemacht;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;10872975;,200152;2015/05/12;50000 bis 100000;Nordrhein-Westfalen;West;m;82;Studium;nein;zwei;zwei;CDU/CSU;ja;3500 bis unter 4000;Festnetz;mehr;so viel tun, wie bisher;oder sollte Deutschland diese Länder nicht stärker unterstützen?;ihre gemeinsame Asylpolitik überarbeiten;eher schlecht;ja;stimme voll und ganz zu;stimme gar nicht zu;stimme gar nicht zu;stimme eher zu;stimme eher zu;stimme eher zu;stimme eher zu;stimme gar nicht zu;habe gemacht;habe gemacht;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;habe gemacht;berechtigter Grund;kein berechtigter Grund;kein berechtigter Grund;berechtigter Grund;berechtigter Grund;kein berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;10912951;1,811691;2015/05/12;100000 bis 500000;Nordrhein-Westfalen;West;w;76;Volks-, Hauptschule;nein;eine Person;eine Person; ;nein;500 bis unter 1000;Festnetz;weniger;mehr tun;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;sehr schlecht;ja;stimme eher nicht zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher nicht zu;stimme gar nicht zu;stimme gar nicht zu;weiß nicht, keine Angabe;habe gemacht;habe gemacht;kann ich mir vorstellen zu tun;weiß nicht, keine Angabe;kann ich mir vorstellen zu tun;kein berechtigter Grund;weiß nicht, keine Angabe;berechtigter Grund;berechtigter Grund;berechtigter Grund;kein berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;10983013;1,329364;2015/05/12;20000 bis 50000;Nordrhein-Westfalen;West;w;23;Abitur;nein;zwei;zwei;weiß nicht, keine Angabe;ja;1500 bis unter 2000;Festnetz;mehr;so viel tun, wie bisher;oder sollte Deutschland diese Länder nicht stärker unterstützen?;oder sollte die EU an ihrer bisherigen Asylpolitik festhalten?;eher schlecht;nein;stimme eher nicht zu;stimme eher zu;stimme eher zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher zu;stimme eher zu;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;11026968;1,587116;2015/05/12;50000 bis 100000;Nordrhein-Westfalen;West;w;34;Studium;ja;vier;drei;weiß nicht, keine Angabe;ja;2500 bis unter 3000;Festnetz;mehr;weniger tun;oder sollte Deutschland diese Länder nicht stärker unterstützen?;ihre gemeinsame Asylpolitik überarbeiten;eher gut;nein;stimme voll und ganz zu;stimme eher nicht zu;stimme eher nicht zu;stimme gar nicht zu;stimme voll und ganz zu;stimme eher zu;stimme eher zu;stimme eher nicht zu;kann ich mir nicht vorstellen zu tun;habe gemacht;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kein berechtigter Grund;kein berechtigter Grund;kein berechtigter Grund;kein berechtigter Grund;berechtigter Grund;kein berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;11278601;,147314;2015/05/12;100000 bis 500000;Nordrhein-Westfalen;West;m;59;Studium;ja;eine Person;eine Person;Bündnis `90, Die Grünen;ja;2000 bis unter 2500;Festnetz;etwa so viel wie die anderen europäischen Staaten auch;mehr tun;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;eher schlecht;nein;stimme eher zu;stimme eher zu;stimme eher zu;stimme gar nicht zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher zu;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;11282734;,532389;2015/05/12;100000 bis 500000;Nordrhein-Westfalen;West;w;69;Mittlerer Bildungsabschl;nein;eine Person;eine Person;CDU/CSU;ja;1000 bis unter 1500;Festnetz;mehr;mehr tun;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;eher gut;ja;stimme eher nicht zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher nicht zu;stimme eher zu;stimme eher zu;stimme gar nicht zu;stimme voll und ganz zu;habe gemacht;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;11347928;,192793;2015/05/12;100000 bis 500000;Nordrhein-Westfalen;West;w;63;Studium;nein;zwei;zwei;weiß nicht, keine Angabe;ja;keine Angabe;Festnetz;etwa so viel wie die anderen europäischen Staaten auch;so viel tun, wie bisher;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;weiß nicht, keine Angabe;ja;stimme gar nicht zu;stimme eher zu;stimme eher zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher zu;stimme eher nicht zu;stimme gar nicht zu;habe gemacht;habe gemacht;kann ich mir vorstellen zu tun;habe gemacht;habe gemacht;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;11572278;2,24295;2015/05/12;50000 bis 100000;Nordrhein-Westfalen;West;m;67;Volks-, Hauptschule;nein;drei;drei;weiß nicht, keine Angabe;ja;2000 bis unter 2500;Festnetz;mehr;so viel tun, wie bisher;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;sehr gut;weiß nicht, keine Angabe;stimme gar nicht zu;stimme eher zu;stimme eher zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher nicht zu;stimme eher nicht zu;stimme voll und ganz zu;kann ich mir vorstellen zu tun;habe gemacht;kann ich mir nicht vorstellen zu tun;habe gemacht;kann ich mir vorstellen zu tun;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;berechtigter Grund;kein berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;11605758;,40839;2015/05/12;100000 bis 500000;Nordrhein-Westfalen;West;m;43;Studium;ja;vier;zwei;weiß nicht, keine Angabe;ja;3500 bis unter 4000;Festnetz;weiß nicht, keine Angabe;mehr tun;stärker als bisher unterstützen sollte,;weiß nicht, keine Angabe;eher schlecht;ja;stimme gar nicht zu;stimme eher zu;stimme voll und ganz zu;weiß nicht, keine Angabe;stimme gar nicht zu;stimme gar nicht zu;weiß nicht, keine Angabe;stimme voll und ganz zu;kann ich mir vorstellen zu tun;habe gemacht;weiß nicht, keine Angabe;kann ich mir vorstellen zu tun;habe gemacht;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;11631338;,338683;2015/05/12;5000 bis 20000;Nordrhein-Westfalen;West;m;15;Schüler;nein;fuenf und mehr;fuenf und mehr; ; ;keine Angabe;Festnetz;mehr;mehr tun;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;eher gut;weiß nicht, keine Angabe;stimme eher nicht zu;stimme eher zu;stimme eher zu;stimme eher nicht zu;stimme eher zu;stimme voll und ganz zu;stimme eher zu;stimme eher nicht zu;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;kein berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;11634522;,128219;2015/05/12;5000 bis 20000;Nordrhein-Westfalen;West;m;76;Studium;nein;eine Person;eine Person;Die Linke;ja;1000 bis unter 1500;Festnetz;mehr;so viel tun, wie bisher;stärker als bisher unterstützen sollte,;oder sollte die EU an ihrer bisherigen Asylpolitik festhalten?;eher gut;ja;stimme gar nicht zu;stimme voll und ganz zu;stimme eher zu;stimme eher zu;stimme eher zu;stimme eher zu;stimme eher zu;stimme voll und ganz zu;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;11637174;,679168;2015/05/12;5000 bis 20000;Nordrhein-Westfalen;West;w;17;Schüler;nein;fuenf und mehr;fuenf und mehr; ;ja;5000 Euro und mehr;Festnetz;etwa so viel wie die anderen europäischen Staaten auch;weniger tun;oder sollte Deutschland diese Länder nicht stärker unterstützen?;oder sollte die EU an ihrer bisherigen Asylpolitik festhalten?;eher schlecht;ja;stimme eher zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher zu;stimme eher zu;stimme eher zu;stimme eher zu;stimme eher nicht zu;habe gemacht;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;11727591;,467728;2015/05/12;50000 bis 100000;Nordrhein-Westfalen;West;w;74;Abitur;nein;zwei;zwei;CDU/CSU;ja;2000 bis unter 2500;Festnetz;mehr;so viel tun, wie bisher;oder sollte Deutschland diese Länder nicht stärker unterstützen?;ihre gemeinsame Asylpolitik überarbeiten;eher gut;nein;stimme voll und ganz zu;stimme eher nicht zu;stimme eher nicht zu;stimme voll und ganz zu;stimme eher nicht zu;stimme gar nicht zu;stimme voll und ganz zu;stimme voll und ganz zu;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;berechtigter Grund;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;kein berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;11840195;2,852993;2015/05/12;50000 bis 100000;Nordrhein-Westfalen;West;w;45;Volks-, Hauptschule;ja;zwei;eine Person;SPD;ja;1000 bis unter 1500;Festnetz;mehr;so viel tun, wie bisher;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;eher schlecht;ja;stimme eher nicht zu;stimme eher zu;stimme eher zu;stimme eher zu;stimme eher nicht zu;stimme eher zu;stimme eher zu;stimme eher nicht zu;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;berechtigter Grund;kein berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;12064484;,212413;2015/05/12;100000 bis 500000;Nordrhein-Westfalen;West;w;59;Studium;ja;vier;vier;würde nicht wählen;ja;5000 Euro und mehr;Festnetz;mehr;mehr tun;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;eher schlecht;nein;stimme eher nicht zu;stimme eher zu;stimme eher zu;stimme gar nicht zu;stimme gar nicht zu;stimme gar nicht zu;stimme eher nicht zu;stimme eher zu;habe gemacht;habe gemacht;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;12065957;,727302;2015/05/12;100000 bis 500000;Nordrhein-Westfalen;West;w;73;Mittlerer Bildungsabschl;nein;eine Person;eine Person;SPD;ja;500 bis unter 1000;Festnetz;mehr;mehr tun;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;sehr gut;nein;stimme gar nicht zu;stimme voll und ganz zu;stimme eher zu;stimme voll und ganz zu;stimme eher nicht zu;stimme eher zu;stimme eher nicht zu;stimme voll und ganz zu;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;berechtigter Grund;kein berechtigter Grund;weiß nicht, keine Angabe;kein berechtigter Grund;kein berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;12505566;2,132234;2015/05/12;100000 bis 500000;Nordrhein-Westfalen;West;w;77;Volks-, Hauptschule;nein;eine Person;eine Person;CDU/CSU;ja;1000 bis unter 1500;Festnetz;etwa so viel wie die anderen europäischen Staaten auch;so viel tun, wie bisher;oder sollte Deutschland diese Länder nicht stärker unterstützen?;ihre gemeinsame Asylpolitik überarbeiten;eher schlecht;ja;stimme eher zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher zu;stimme eher zu;stimme eher zu;stimme eher nicht zu;stimme eher nicht zu;habe gemacht;habe gemacht;kann ich mir vorstellen zu tun;habe gemacht;kann ich mir vorstellen zu tun;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;12542298;1,068666;2015/05/12;100000 bis 500000;Nordrhein-Westfalen;West;m;34;Studium;ja;vier;vier;AfD;ja;5000 Euro und mehr;Festnetz;mehr;weniger tun;oder sollte Deutschland diese Länder nicht stärker unterstützen?;oder sollte die EU an ihrer bisherigen Asylpolitik festhalten?;eher gut;nein;stimme voll und ganz zu;stimme gar nicht zu;stimme gar nicht zu;stimme eher nicht zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher zu;stimme gar nicht zu;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;kein berechtigter Grund;kein berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;12605661;2,159645;2015/05/12;100000 bis 500000;Nordrhein-Westfalen;West;w;29;Studium;ja;zwei;zwei;Die Linke;ja;3500 bis unter 4000;Festnetz;weniger;mehr tun;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;eher gut;nein;stimme gar nicht zu;stimme eher zu;stimme voll und ganz zu;stimme eher nicht zu;stimme gar nicht zu;stimme eher nicht zu;stimme gar nicht zu;stimme eher zu;habe gemacht;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;habe gemacht;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;12702128;,276046;2015/05/12;20000 bis 50000;Nordrhein-Westfalen;West;m;66;Mittlerer Bildungsabschl;nein;zwei;zwei;SPD;ja;3000 bis unter 3500;Festnetz;mehr;so viel tun, wie bisher;weiß nicht, keine Angabe;ihre gemeinsame Asylpolitik überarbeiten;eher gut;nein;stimme eher zu;stimme gar nicht zu;stimme voll und ganz zu;stimme eher zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher zu;stimme voll und ganz zu;kann ich mir vorstellen zu tun;habe gemacht;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;12773958;,892054;2015/05/12;50000 bis 100000;Nordrhein-Westfalen;West;w;36;Mittlerer Bildungsabschl;nein;fuenf und mehr;zwei;FDP;ja;3000 bis unter 3500;Festnetz;mehr;so viel tun, wie bisher;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;eher gut;nein;stimme eher nicht zu;stimme eher nicht zu;stimme eher zu;stimme gar nicht zu;stimme eher nicht zu;stimme eher zu;stimme eher nicht zu;stimme eher nicht zu;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
